v_1;v_2;v_3;v_4;v_5;v_6;v_7;;v_8;v_10;v_12;v_14;v_16;v_17;v_18;v_396;v_22;v_65;v_66;v_67;v_68;v_69;v_146;v_147;v_148;v_149;v_150;v_152;v_153;v_154;v_397;v_155;v_156;v_157;v_158;v_159;v_160;v_171;v_172;v_173;v_174;v_161;v_162;v_163;v_164;v_165;v_175;v_176;v_177;v_178;v_179;v_180;v_166;v_168;v_170;v_183;v_184;v_76;v_77;v_78;v_79;v_80;v_82;v_84;v_85;v_86;v_87;v_88;v_89;v_90;v_99;v_100;v_101;v_102;v_196;v_197;v_198;v_199;v_200;v_113;v_114;v_115;v_116;v_118;v_119;v_120;v_131;v_132;v_133;v_194;v_135;v_201;v_202;v_203;v_206;v_205;v_104;v_106;v_107;v_108;v_111;v_208;v_209;v_213;v_211;v_215;v_217;v_218;v_222;v_225;v_226;v_227;v_228;v_229;v_230;v_231;v_233;v_400;v_234;v_235;v_270;v_271;v_272;v_273;v_236;v_237;v_238;v_239;v_240;v_241;v_242;v_243;v_244;v_245;v_246;v_247;v_248;v_249;v_250;v_251;v_252;v_253;v_254;v_255;v_256;v_342;v_344;v_346;v_348;v_350;v_381;v_382;v_383;v_384;v_385
7;1;1;1;1;1;0;0;0;1;7;2;3;0;0;1;0;5;3;4;4;4;5;4;4;3;4;4;2;4;5;4;5;5;4;3;4;5;4;5;5;4;4;3;5;5;5;4;4;3;5;5;2;1;1;5;3;3;1;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;4;4;3;4;4;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;4;4;4;2;4;2;4;5;4;4;2;4;2;5;4;2;3;4;3;4;2;2;2;4;5;2;4;2;4;3;4;4;2;5;5;2;245;255;244;NA;NA;0;1;0;NA;NA
1;0;1;0;0;0;0;0;1;2;8;6;3;0;1;1;0;3;3;3;4;4;2;2;3;4;4;2;2;4;4;4;4;4;4;4;3;2;4;4;4;1;3;4;1;4;3;2;1;4;2;4;5;5;5;3;3;4;1;0;0;0;0;0;0;0;0;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;4;3;3;3;3;2;2;4;3;3;3;3;3;3;3;3;3;240;NA;NA;NA;NA;0;NA;NA;NA;NA
3;0;0;0;0;1;0;1;1;1;4;1;3;0;1;0;0;5;5;5;4;3;5;4;NA;NA;3;5;1;4;4;3;5;5;5;5;5;5;5;5;4;5;5;5;5;3;4;3;3;5;5;5;5;5;3;5;3;1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;1;NA;4;4;4;4;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;0;1;1;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1;5;1;3;2;4;1;1;1;4;4;4;4;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;237;236;244;240;255;1;1;1;1;1
7;0;0;0;0;0;0;1;1;2;7;5;3;0;0;0;1;5;3;4;4;4;5;3;2;2;3;4;2;5;4;3;5;5;4;5;3;4;3;4;4;3;5;3;1;3;3;1;3;1;5;5;2;4;1;5;2;3;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;3;2;4;1;4;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;2;1;1;4;3;4;4;3;4;3;2;1;3;5;3;4;4;2;3;5;1;2;4;4;2;4;3;1;1;1;5;3;3;4;4;4;240;251;256;246;243;1;1;0;0;0
5;0;0;1;0;0;0;0;0;1;4;1;3;1;0;1;0;5;4;4;4;3;4;4;3;3;2;5;1;4;4;3;4;5;1;3;3;4;4;5;3;2;4;2;3;3;3;4;4;4;5;3;2;3;3;3;3;4;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;5;4;3;2;3;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;3;3;2;4;3;2;1;3;2;1;2;2;2;1;1;3;2;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;0;0;0;0;0;0;1;1;1;8;1;3;1;1;1;0;4;5;4;4;3;5;4;3;2;3;5;4;4;4;5;5;4;3;4;4;4;5;4;4;4;4;5;4;4;3;4;4;5;4;5;3;2;4;3;3;3;1;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;4;3;4;3;4;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;2;3;3;3;4;3;2;4;2;3;2;2;2;2;2;3;4;4;4;3;3;3;4;3;2;3;2;3;4;3;NA;3;3;4;3;3;246;251;NA;NA;NA;1;1;NA;NA;NA
2;0;0;0;1;0;0;0;0;1;8;NA;3;0;1;0;0;5;5;NA;NA;5;1;3;4;4;1;5;1;5;5;4;5;3;4;5;4;3;3;3;4;3;3;3;NA;4;4;4;4;4;4;5;3;3;3;1;2;4;1;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;5;5;NA;5;5;0;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;3;5;5;5;3;3;5;3;3;3;3;3;1;2;1;2;1;2;2;3;254;238;239;237;236;1;1;0;0;0
7;0;0;0;0;0;0;1;1;1;5;4;3;0;0;0;1;3;3;5;4;4;3;3;4;4;3;4;1;5;3;4;5;3;4;4;3;4;3;2;2;3;4;4;2;2;4;3;4;3;4;5;2;2;2;5;4;3;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;3;4;4;3;3;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;1;3;3;4;3;3;4;3;NA;NA;NA;NA;NA;4;5;4;3;2;1;2;4;4;3;2;2;3;2;2;4;3;2;2;3;3;237;236;NA;NA;NA;1;0;NA;NA;NA
2;0;1;0;0;0;0;0;0;2;8;4;3;0;1;0;0;3;4;4;4;5;3;4;3;3;5;3;2;4;4;2;3;3;4;4;2;3;3;5;5;3;4;2;3;2;4;4;4;4;4;4;3;3;2;4;4;3;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;2;4;2;2;3;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;2;2;1;2;1;1;1;2;3;2;1;2;3;5;4;2;2;2;1;4;3;3;3;4;2;3;3;4;4;4;4;3;3;3;2;2;240;244;251;253;NA;1;1;0;0;NA
7;1;1;1;1;1;0;0;0;1;7;4;2;0;1;0;0;4;2;4;5;1;5;2;4;4;5;2;3;2;3;4;2;2;4;4;5;NA;3;4;5;4;3;4;1;NA;NA;4;1;4;4;3;3;2;2;5;3;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4;5;1;5;1;2;3;4;1;1;1;3;1;4;1;1;2;4;2;1;237;240;244;253;NA;1;0;0;1;NA
